iter	Passed	Remaining
829	24234	4963
830	24263	4934
831	24290	4904
832	24319	4875
833	24349	4846
834	24377	4817
835	24404	4787
836	24433	4758
837	24461	4728
838	24489	4699
839	24519	4670
840	24546	4640
841	24576	4611
842	24604	4582
843	24632	4552
844	24660	4523
845	24688	4494
846	24719	4465
847	24750	4436
848	24776	4406
849	24804	4377
850	24834	4348
851	24861	4318
852	24889	4289
853	24915	4259
854	24942	4230
855	24970	4200
856	24996	4170
857	25023	4141
858	25048	4111
859	25075	4082
860	25107	4053
861	25132	4023
862	25159	3994
863	25186	3964
864	25224	3936
865	25264	3909
866	25303	3881
867	25346	3854
868	25392	3827
869	25432	3800
870	25471	3772
871	25511	3744
872	25556	3717
873	25594	3689
874	25635	3662
875	25673	3634
876	25705	3605
877	25734	3575
878	25763	3546
879	25791	3517
880	25820	3487
881	25850	3458
882	25878	3429
883	25908	3399
884	25936	3370
885	25962	3340
886	25989	3310
887	26016	3281
888	26043	3251
889	26072	3222
890	26100	3192
891	26129	3163
892	26156	3134
893	26183	3104
894	26210	3075
895	26234	3045
896	26262	3015
897	26291	2986
898	26317	2956
899	26346	2927
900	26375	2898
901	26404	2868
902	26430	2839
903	26458	2809
904	26485	2780
905	26512	2750
906	26539	2721
907	26566	2691
908	26593	2662
909	26622	2632
910	26653	2603
911	26680	2574
912	26707	2545
913	26734	2515
914	26761	2485
915	26788	2456
916	26817	2427
917	26845	2397
918	26871	2368
919	26898	2339
920	26927	2309
921	26954	2280
922	26979	2250
923	27006	2221
924	27034	2191
925	27061	2162
926	27087	2133
927	27117	2103
928	27145	2074
929	27172	2045
930	27198	2015
931	27225	1986
932	27251	1957
933	27280	1927
934	27312	1898
935	27346	1869
936	27384	1841
937	27415	1812
938	27449	1783
939	27481	1754
940	27515	1725
941	27548	1696
942	27607	1668
943	27638	1639
944	27664	1610
945	27691	1580
946	27715	1551
947	27742	1521
948	27768	1492
949	27794	1462
950	27822	1433
951	27852	1404
952	27880	1375
953	27909	1345
954	27937	1316
955	27965	1287
956	27992	1257
957	28019	1228
958	28047	1199
959	28073	1169
960	28101	1140
961	28130	1111
962	28158	1081
963	28187	1052
964	28215	1023
965	28261	994
966	28286	965
967	28312	935
968	28344	906
969	28376	877
970	28404	848
971	28431	819
972	28461	789
973	28488	760
974	28516	731
975	28542	701
976	28570	672
977	28597	643
978	28623	613
979	28650	584
980	28675	555
981	28702	526
982	28729	496
983	28756	467
984	28783	438
985	28813	409
986	28840	379
987	28888	350
988	28914	321
989	28940	292
990	28971	263
991	29001	233
992	29030	204
993	29059	175
994	29085	146
995	29112	116
996	29139	87
997	29166	58
998	29191	29
999	29221	0
